nation,testname,date,latitude,longitude,yield,time,altitude,testtype,site
USA,HARDTACK II-Quay,10-Oct-58,37.1 N,116.0 W,0.079,1430,,A,NZN
USSR,,12-Oct-58,73.8 N,55.0 E,1450,753,30,AT,NV
USA,HARDTACK II-Lea,13-Oct-58,37.1 N,116.0 W,1.4,1320,,A,NZN
USSR,,15-Oct-58,73.8 N,55.0 E,1500,751,460,AB,NV
USA,HARDTACK II-Hamilton,15-Oct-58,36.8 N,115.95 W,0.0012,1600,2150,A,NZN
USA,HARDTACK II-Dona Ana,16-Oct-58,37.1 N,116.0 W,0.037,1420,15,AT,NV
USA,HARDTACK II-Vesta,17-Oct-58,37.1 N,116.0 W,0.024,2300,137,AB,NV
USSR,,18-Oct-58,73.8 N,55.0 E,2900,951,0,AS,NV
USA,HARDTACK II-Rio Arriba,18-Oct-58,37.0 N,116.0 W,0.09,1425,,A,NZN
USSR,,19-Oct-58,73.8 N,55.0 E,40,727,22.1,AT,NV
USSR,,19-Oct-58,73.8 N,55.0 E,0.0005,,,A,NZN
USSR,,20-Oct-58,73.8 N,55.0 E,440,820,900,A,NZN
USSR,,21-Oct-58,73.8 N,55.0 E,2,,,A,NZN
USSR,,22-Oct-58,73.8 N,55.0 E,2800,821,270,A,NZN
USA,HARDTACK II-Socorro,22-Oct-58,37.1 N,116.0 W,6,1330,2070,A,NZN
USA,HARDTACK II-Wrangell,22-Oct-58,36.8 N,115.95 W,0.115,1650,440,AB,NV
USA,HARDTACK II-Oberon,22-Oct-58,37.2 N,116.1 W,0.188,2030,460,AB,NV
USA,HARDTACK II-Rushmore,22-Oct-58,37.1 N,116.0 W,0,2340,7.6,AT,NV
USSR,,24-Oct-58,73.8 N,55.0 E,1000,803,150,AB,NV
USA,HARDTACK II-Catron,24-Oct-58,37.0 N,116.0 W,0.021,1500,1525,A,NZN
USA,HARDTACK II-Juno,24-Oct-58,37.1 N,116.0 W,0.0017,1601,22.1,AT,NV
USSR,,25-Oct-58,73.8 N,55.0 E,190,820,0,AS,NV
USSR,,25-Oct-58,73.8 N,55.0 E,0.05,,1500,A,NZN
USA,HARDTACK II-Ceres,26-Oct-58,37.2 N,116.1 W,0.0007,400,300,A,NZN
USA,HARDTACK II-Sanford,26-Oct-58,36.8 N,115.95 W,4.9,1020,7.6,AT,NV
USA,HARDTACK II-De Baca,26-Oct-58,37.1 N,116.0 W,2.2,1600,460,AB,NV
USA,HARDTACK II-Chavez,27-Oct-58,37.0 N,116.0 W,0.0006,1430,460,AB,NV
USA,HARDTACK II-Mazama,29-Oct-58,37.1 N,116.0 W,0.0078,1120,16,AT,NV
USA,HARDTACK II-Humboldt,29-Oct-58,37.0 N,116.0 W,0,1445,15,AT,NV
USA,HARDTACK II-Santa Fe,30-Oct-58,37.1 N,116.0 W,1.3,300,7.6,AT,NV
USA,HARDTACK II-Ganymede,30-Oct-58,37.1 N,116.0 W,22,1100,460,AB,NV
USA,HARDTACK II-Titania,30-Oct-58,37.2 N,116.1 W,0.0002,2034,0,AS,NV
USSR,,1-Nov-58,48 N,44 E,10,,7.6,AT,NV
USSR,,3-Nov-58,48 N,44 E,10,,12000,AR,MT
France,Gerboise Bleue,13-Feb-60,26.317 N,0.067 W,65,704,107,AT,RE
France,Gerboise Blanche,1-Apr-60,26.06 N,0.09 W,15,617,,AS,RE
France,Gerboise Rouge,27-Dec-60,27. N,0. W,5,730,100,AT,RE
France,Gerboise Verte,25-Apr-61,27. N,0. W,0.5,00:00.0,,AT,RE
USSR,,1-Sep-61,50. N,78. E,16,,660,A,KS
USSR,,4-Sep-61,50. N,78. E,9,,725,A,KS
USSR,,5-Sep-61,50. N,78. E,16,,500,A,KS
USSR,,6-Sep-61,50 N,78 E,1.1,,685,A,KS
USSR,,6-Sep-61,48.45 N,44.30 E,16,,22700,AR,MT
USSR,,9-Sep-61,50 N,78 E,0.38,,0,AS,KS
USSR,,10-Sep-61,73.8 N,55.0 E,2700,900,2000,A,NZN
USSR,,10-Sep-61,73.8 N,55.0 E,12,,390,A,NZN
USSR,,10-Sep-61,50 N,78 E,0.88,,180,A,KS
USSR,,11-Sep-61,50 N,78 E,0.3,,,A,KS
USSR,,12-Sep-61,73.8 N,55.0 E,1150,1008,1190,A,NZN
USSR,,13-Sep-61,73.8 N,55.0 E,6,,250,A,NZN
USSR,,13-Sep-61,50. N,78. E,20,,710,A,KS
USSR,,14-Sep-61,50 N,78 E,0.4,,0,AS,KS
USSR,,14-Sep-61,74.6 N,51.1 E,1200,56:16.7,1700,A,NZN
USSR,,16-Sep-61,73.8 N,55.0 E,830,908,,A,NZN
USSR,,17-Sep-61,50. N,78. E,60,,695,A,KS
USSR,,18-Sep-61,74. N,52. E,1000,39:36.8,1500,A,NZN
USSR,,18-Sep-61,50 N,78 E,0.004,,1,AS,KS
USSR,,18-Sep-61,50 N,78 E,0.75,,,A,KS
USSR,,19-Sep-61,50 N,78 E,0.03,,0,AS,KS
USSR,,20-Sep-61,50 N,78 E,4.8,,280,A,KS
USSR,,20-Sep-61,73.8 N,55.0 E,1000,812,1600,A,NZN
USSR,,21-Sep-61,50 N,78 E,0.8,,110,A,KS
USSR,,22-Sep-61,73.8 N,55.0 E,260,801,1300,A,NZN
USSR,,26-Sep-61,50 N,78 E,1.2,,665,A,KS
USSR,,1-Oct-61,50 N,78 E,3,,700,A,KS
USSR,,2-Oct-61,73.8 N,55.0 E,250,1031,1500,A,NZN
USSR,,4-Oct-61,50 N,78 E,13,,605,A,KS
USSR,,4-Oct-61,73.7 N,53.8 E,10000,10:54.8,2100,A,NZN
USSR,,6-Oct-61,73.8 N,55.0 E,4000,700,2700,A,NZN
USSR,,6-Oct-61,48. N,44. E,40,,41300,AR,MT
USSR,,8-Oct-61,73.8 N,55.0 E,15,,1450,A,NZN
USSR,,12-Oct-61,50. N,78. E,15,,670,A,KS
USSR,,17-Oct-61,50 N,78 E,6.6,,505,A,KS
USSR,,19-Oct-61,50 N,78 E,10,,710,A,KS
USSR,,20-Oct-61,73.8 N,55.0 E,1450,,,A,NZN
USSR,,23-Oct-61,73.9 N,53.8 E,12500,51:22.1,3500,AD,NZN
USSR,,23-Oct-61,70.7 N,53.5 E,4.8,10:48.8,0,W,NZI
USSR,,25-Oct-61,73.8 N,55.0 E,300,833,1450,A,NZN
USSR,,25-Oct-61,50 N,78 E,0.5,,,A,KS
USSR,,27-Oct-61,70.7 N,53.5 E,16,50:26.6,0,AW,NZI
USSR,,27-Oct-61,48. N,44. E,1.2,,150000,AR,MT
USSR,,27-Oct-61,48. N,44. E,1.2,,300000,AR,MT
USSR,,30-Oct-61,50 N,78 E,0.09,,470,A,KS
USSR,Tsar Bomba,30-Oct-61,73.8 N,55.0 E,58000,833,4000,AD,NZN
USSR,,31-Oct-61,73.8 N,55.0 E,5000,829,2200,A,NZN
USSR,,31-Oct-61,73.8 N,55.0 E,1000,838,1530,A,NZN
USSR,,1-Nov-61,50 N,78 E,2.7,,475,A,KS
USSR,,2-Nov-61,73.8 N,55.0 E,120,841,1400,A,NZN
USSR,,2-Nov-61,73.8 N,55.0 E,280,,1500,A,NZN
USSR,,2-Nov-61,50 N,78 E,0.6,,645,A,KS
USSR,,3-Nov-61,50 N,78 E,0.0005,,0,AS,KS
USSR,,3-Nov-61,50 N,78 E,0.9,,635,A,KS
USSR,,4-Nov-61,73.8 N,55.0 E,15,,1770,A,NZN
USSR,,4-Nov-61,73.8 N,55.0 E,1000,720,1750,A,NZN
USSR,,4-Nov-61,73.8 N,55.0 E,6,,2240,A,NZN
USSR,,4-Nov-61,50 N,78 E,0.15,,0,AS,KS
USA,DOMINIC I-Adobe,25-Apr-62,1.6 N,157.4 W,190,1546,831,AD,CH
USA,DOMINIC I-Aztec,27-Apr-62,1.6 N,157.3 W,410,1602,860,AD,CH
USA,DOMINIC I-Arkansas,2-May-62,1.7 N,157.2 W,1090,1802,1615,AD,CH
USA,DOMINIC I-Questa,4-May-62,1.5 N,157.3 W,670,1905,1670,AD,CH
USA,DOMINIC I-Frigate Bird,6-May-62,4.83 N,149.42 W,600,2330:16:00,3800,AR,PO
USA,DOMINIC I-Yukon,8-May-62,1.6 N,157.3 W,100,1801,850,AD,CH
USA,DOMINIC I-Mesilla,9-May-62,1.6 N,157.3 W,100,1701,760,AD,CH
USA,DOMINIC I-Muskegon,11-May-62,1.6 N,157.3 W,50,1537,910,AD,CH
USA,DOMINIC I-Swordfish,11-May-62,31.245 N,124.212 E,1,2002,-206,WD,PO
USA,DOMINIC I-Encino,12-May-62,2. N,157. W,500,1703,1620,AD,CH
USA,DOMINIC I-Swanee,14-May-62,1.6 N,157.3 W,97,1522,820,AD,CH
USA,DOMINIC I-Chetco,19-May-62,1.6 N,157.3 W,73,1537,2070,AD,CH
USA,DOMINIC I-Tanana,25-May-62,2. N,157. W,2.6,1609,2700,AD,CH
USA,DOMINIC I-Nambe,27-May-62,1.6 N,157.3 W,43,1703,2350,AD,CH
USA,DOMINIC I-Alma,8-Jun-62,1.5 N,157.3 W,782,1703,2700,AD,CH
USA,DOMINIC I-Truckee,9-Jun-62,1.6 N,157.3 W,210,1537,2100,AD,CH
USA,DOMINIC I-Yeso,10-Jun-62,1.5 N,157.3 W,3000,701,2680,AD,CH
USA,DOMINIC I-Harlem,12-Jun-62,1.5 N,157.3 W,1200,1537,4330,AD,CH
USA,DOMINIC I-Rinconada,15-Jun-62,1.5 N,157.3 W,800,1601,3050,AD,CH
USA,DOMINIC I-Dulce,17-Jun-62,1.5 N,157.3 W,52,1601,2700,AD,CH
USA,DOMINIC I-Petit,19-Jun-62,1.5 N,157.3 W,2.2,1501,4800,AD,CH
USA,DOMINIC I-Otowi,22-Jun-62,1.6 N,157.3 W,81.5,1601,2670,AD,CH
USA,DOMINIC I-Bighorn,27-Jun-62,1.3 N,157.3 W,7650,1519,3700,AD,CH
USA,DOMINIC I-Bluestone,30-Jun-62,1.5 N,157.3 W,1270,1521,1460,AD,CH
USA,DOMINIC II-Little Feller II,7-Jul-62,37.1 N,116.1 W,0.022,,1,AS,NV
USA,DOMINIC II-Starfish Prime,9-Jul-62,17.2 N,169.1 W,1400,900,400000,AR,JO
USA,DOMINIC II-Sunset,10-Jul-62,1.5 N,157.3 W,1000,1633,1700,AD,CH
USA,DOMINIC II-Pamlico,11-Jul-62,1.4 N,157.3 W,3880,1537,4300,AD,CH
USA,DOMINIC II-Johnnie Boy,11-Jul-62,37.12244 N,116.33303 W,0.5,25:00.1,1,AS,NV
USA,DOMINIC II-Small Boy,14-Jul-62,37.0 N,116.1 W,1.65,,3,AT,NV
USA,DOMINIC II-Little Feller I,17-Jul-62,37.1 N,116.4 W,0.018,1700,6,AR,NV
USSR,,1-Aug-62,50 N,78 E,2.4,,430,A,KS
USSR,,3-Aug-62,50 N,78 E,1.6,,180,A,KS
USSR,,4-Aug-62,50 N,78 E,3.8,,390,A,KS
USSR,,5-Aug-62,73.8 N,55.0 E,21100,909,3600,A,NZN
USSR,,7-Aug-62,50. N,78. E,9.9,930,0,A,KS
USSR,,10-Aug-62,73.8 N,55.0 E,1000,900,1560,A,NZN
USSR,,18-Aug-62,50 N,78 E,7.4,,710,A,KS
USSR,,18-Aug-62,50 N,78 E,5.8,,310,A,KS
USSR,,20-Aug-62,74.3 N,51.5 E,2800,02:14.1,2500,A,NZN
USSR,,21-Aug-62,50 N,78 E,100,,590,A,KS
USSR,,22-Aug-62,73.8 N,55.0 E,1600,900,1700,A,NZN
USSR,,22-Aug-62,73.8 N,55.0 E,6,,,A,NZN
USSR,,22-Aug-62,50 N,78 E,3,,740,A,KS
USSR,,23-Aug-62,50 N,78 E,2.5,,680,A,KS
USSR,,25-Aug-62,50. N,78. E,20,540,715,A,KS
USSR,,25-Aug-62,73.8 N,55.0 E,10000,900,2980,A,NZN
USSR,,27-Aug-62,73.8 N,55.0 E,4200,900,3000,A,NZN
USSR,,27-Aug-62,50 N,78 E,11,,245,A,KS
USSR,,31-Aug-62,50 N,78 E,2.7,,700,A,KS
USSR,,2-Sep-62,73.8 N,55.0 E,80,,1300,A,NZN
USSR,,8-Sep-62,73.8 N,55.0 E,1900,1018,1725,A,NZN
USSR,,15-Sep-62,74.4 N,51.5 E,3100,22:13.9,,A,NZN
USSR,,16-Sep-62,73.8 N,55.0 E,3250,1059,,A,NZN
USSR,,18-Sep-62,73.2 N,54.7 E,1350,49:02.7,2000,A,NZN
USSR,,19-Sep-62,73.8 N,53.8 E,20000,20:56.4,3280,A,NZN
USSR,,21-Sep-62,73.8 N,55.0 E,2400,801,3000,A,NZN
USSR,,22-Sep-62,50 N,78 E,0.21,,0,AS,KS
USSR,,24-Sep-62,50 N,78 E,1.2,,630,A,KS
USSR,,25-Sep-62,50 N,78 E,7,,0,AS,KS
USSR,,25-Sep-62,73.8 N,55.0 E,19100,1303,4090,A,NZN
USSR,,27-Sep-62,74.3 N,52.4 E,20000,23:16.4,3900,A,NZN
USSR,,28-Sep-62,50 N,78 E,1.3,,695,A,KS
USA,DOMINIC II-Androscoggin,2-Oct-62,14. N,172. W,75,1618,2290,AD,JO
USA,DOMINIC II-Bumping,6-Oct-62,14.5 N,168.5 W,11.3,1603,,AD,JO
USSR,,7-Oct-62,73.8 N,55.0 E,320,1632,1440,A,NZN
USSR,,9-Oct-62,50 N,78 E,8,,645,A,KS
USSR,,9-Oct-62,73.8 N,55.0 E,15,,3000,A,NZN
USSR,,10-Oct-62,50 N,78 E,9.2,,665,A,KS
USSR,,13-Oct-62,50 N,78 E,4.9,,720,A,KS
USSR,,14-Oct-62,50. N,78. E,20,,725,A,KS
USA,DOMINIC II-Chama,18-Oct-62,14.5 N,169.0 W,1590,1601,0,AD,JO
USA,DOMINIC II-Checkmate,20-Oct-62,16.0 N,169.5 W,6,830,150000,AR,JO
USSR,,20-Oct-62,50 N,78 E,6.7,,635,A,KS
USSR,,22-Oct-62,48. N,64. E,300,341,290000,AR,MT
USSR,,22-Oct-62,73.8 N,55.0 E,8200,906,3230,A,NZN
USA,DOMINIC II-Bluegill Triple Prime,26-Oct-62,16.9 N,169.2 W,300,959,50000,AR,JO
USSR,,27-Oct-62,73.8 N,55.0 E,260,735,1550,A,NZN
USA,DOMINIC II-Calamity,27-Oct-62,14.5 N,168.5 W,800,1546,3700,AD,JO
USSR,,28-Oct-62,50. N,78. E,7.8,,670,A,KS
USSR,,28-Oct-62,48 N,44 E,300,441,150000,AR,MT
USSR,,28-Oct-62,50. N,78. E,7.8,,645,A,KS
USSR,,29-Oct-62,73.8 N,55.0 E,360,735,1550,A,NZN
USSR,,30-Oct-62,50 N,78 E,1.2,,0,A,KS
USSR,,30-Oct-62,73.8 N,55.0 E,280,,1500,A,NZN
USA,DOMINIC II-Housatonic,30-Oct-62,13.5 N,172. W,8300,1602,3700,AD,JO
USSR,,31-Oct-62,50 N,78 E,10,,690,A,KS
USSR,,1-Nov-62,50 N,78 E,3,,700,A,KS
USSR,,1-Nov-62,73.8 N,55.0 E,240,630,1500,A,NZN
USSR,,1-Nov-62,48 N,44 E,300,920,59000,AR,MT
USA,DOMINIC II-Kingfish,1-Nov-62,16.6 N,169.4 W,300,1210,95000,AR,JO
USSR,,3-Nov-62,73.8 N,55.0 E,390,831,1500,A,NZN
USSR,,3-Nov-62,73.8 N,55.0 E,45,,4000,A,NZN
USSR,,3-Nov-62,50 N,78 E,4.7,,710,A,KS
USSR,,4-Nov-62,50. N,78. E,8.4,,600,A,KS
USA,DOMINIC II-Tightrope,4-Nov-62,17.1 N,169.1 W,6,730,25000,AR,JO
USSR,,5-Nov-62,50 N,78 E,0.4,,15,AS,KS
USSR,,11-Nov-62,50 N,78 E,0.1,,8,AS,KS
USSR,,13-Nov-62,50 N,78 E,0.0005,,0,AS,KS
USSR,,14-Nov-62,50 N,78 E,12,,660,A,KS
USSR,,17-Nov-62,50. N,78. E,18,,715,A,KS
USSR,,24-Nov-62,50 N,78 E,0.0005,,0,AS,KS
USSR,,26-Nov-62,50 N,78 E,0.031,,0,AS,KS
USSR,,1-Dec-62,50 N,78 E,2.4,,680,A,KS
USSR,,18-Dec-62,73.8 N,55.0 E,110,,1600,A,NZN
USSR,,18-Dec-62,73.8 N,55.0 E,69,,1500,A,NZN
USSR,,20-Dec-62,73.8 N,55.0 E,8.3,,1070,A,NZN
USSR,,22-Dec-62,73.8 N,55.0 E,6.3,,1050,A,NZN
USSR,,23-Dec-62,73.8 N,55.0 E,430,1115,1460,A,NZN
USSR,,23-Dec-62,73.8 N,55.0 E,8.3,,1470,A,NZN
USSR,,23-Dec-62,73.8 N,55.0 E,2.4,,1270,A,NZN
USSR,,23-Dec-62,50 N,78 E,0.0005,,0,AS,KS
USSR,,24-Dec-62,50 N,78 E,0.007,,0,AS,KS
USSR,,24-Dec-62,50 N,78 E,0.028,,0,AS,KS
USSR,,24-Dec-62,74.2 N,52.3 E,1100,24:21.9,1320,A,NZN
USSR,,24-Dec-62,73.6 N,57.5 E,24200,31:42.0,3750,A,NZN
USSR,,25-Dec-62,73.4 N,56.5 E,3100,15:57.2,2250,A,NZN
USSR,,25-Dec-62,73.8 N,55.0 E,8.5,,990,A,NZN
PRC,-596,16-Oct-64,41.35 N,88.30 E,22,700:00:00,102,AT,LN
PRC,,14-May-65,41. N,89. E,35,200:00:00,500,AD,LN
PRC,,9-May-66,41. N,89. E,250,800:00:00,,AD,LN
France,Aldebaran,2-Jul-66,21.8 S,139.0 W,28,1534,0,AW,MU
France,Tamoure,19-Jul-66,23.0 S,139.0 W,75,1505,0,AD,FA
France,Ganymede X,21-Jul-66,21.8 S,139.0 W,0,1200,0,AS,MU
France,Betelgeuse,11-Sep-66,21.8 S,139.0 W,120,1730,600,AB,MU
France,Rigel,24-Sep-66,22.2 S,138.7 W,150,1700,3,AW,FA
France,Sirius,4-Oct-66,21.8 S,139.0 W,300,2100,3,AW,MU
PRC,,27-Oct-66,41. N,89. E,12,110:00:00,569,AR,LN
PRC,,28-Dec-66,41. N,89. E,122,400:00:00,102,AT,LN
France,Altair,5-Jun-67,21.8 S,139.0 W,,1900,,AB,MU
France,Antares,27-Jun-67,21.8 S,139.0 W,,1930,,AB,MU
France,Arcturus,2-Jul-67,21.8 S,139.0 W,,1730,0,AB,MU
PRC,,17-Jun-67,40.744 N,89.775 E,3300,0019:08.2,2960,AD,LN
PRC,,24-Dec-67,41. N,89. E,20,400:00:00,,AD,LN
France,,7-Jul-68,21.8 S,139.0 W,,2200,,AB,MU
France,,15-Jul-68,21.8 S,139.0 W,500,1900,,AB,MU
France,,3-Aug-68,21.8 S,139.0 W,500,2100,,AB,MU
France,Canopus,24-Aug-68,22.25 S,138.75 W,2600,1829:59:00,600,AB,FA
France,Procyon,8-Sep-68,21.78 S,139.16 W,1200,1859:59:00,600,AB,MU
PRC,,27-Dec-68,41. N,89. E,3000,730:00:00,,AD,LN
PRC,,29-Sep-69,40.722 N,89.515 E,3000,00:21.4,,AD,LN
France,Andromede,15-May-70,21.8 S,139.0 W,,1800,,AB,MU
France,Cassiopee,22-May-70,22.2 S,138.7 W,,1830,,AB,FA
France,Dragon,30-May-70,22.24 S,138.79 W,1000,19:58.5,,AB,FA
France,Eridan,24-Jun-70,21.8 S,139.0 W,,1830,,AB,MU
France,Licorne,3-Jul-70,21.8 S,139.2 W,1000,29:59.1,60,AB,MU
France,Pegase,27-Jul-70,21.8 S,139.0 W,,1900,,AB,MU
France,Orion,2-Aug-70,22.2 S,138.7 W,,1900,,AB,FA
France,Toucan,6-Aug-70,21.8 S,139.0 W,,1900,,AB,MU
PRC,,14-Oct-70,40.520 N,89.779 E,3400,09:56.9,,AD,LN
France,Dione,5-Jun-71,21.8 S,139.0 W,15,1915,,AB,MU
France,Encelade,12-Jun-71,23.8 S,137.2 W,475,1914:57:00,,AB,FA
France,Japet,4-Jul-71,21.8 S,139.0 W,,2130,,AB,MU
France,Phoebe,8-Aug-71,21.8 S,139.0 W,,1830,,AB,MU
France,Rhea,14-Aug-71,21.88 S,138.95 W,1000,59:59.2,,AB,MU
PRC,,18-Nov-71,41. N,89. E,15,600:00:00,,AT,LN
PRC,,7-Jan-72,41. N,89. E,8,700:00:00,,AD,LN
PRC,,18-Mar-72,41. N,89. E,170,600:00:00,,AD,LN
France,,25-Jun-72,21.8 S,139.0 W,,,,A,MU
France,,30-Jun-72,21.8 S,139.0 W,,,,A,MU
France,,29-Jul-72,21.8 S,139.0 W,,,,A,MU
France,,21-Jul-73,21.8 S,139.0 W,5.5,1800,,AB,MU
PRC,,27-Jun-73,40.7985 N,89.8091 E,2500,59:46.3,,AD,LN
France,,28-Jul-73,21.8 S,139.0 W,2,2303,,AB,MU
France,,19-Aug-73,21.8 S,139.0 W,7,,,A,MU
France,,25-Aug-73,21.8 S,139.0 W,,,,A,MU
France,,27-Aug-73,21.8 S,139.0 W,6.6,,,AD,MU
France,,73,21.8 S,139.0 W,0,,,AS,MU
France,,74,21.8 S,139.0 W,0,,,AS,MU
France,,16-Jun-74,21.8 S,139.0 W,10,,,AB,MU
PRC,,17-Jun-74,40.518 N,89.619 E,1000,19:52.7,,A,LN
France,,7-Jul-74,21.8 S,139.0 W,150,,,AB,MU
France,,17-Jul-74,21.8 S,139.0 W,,,,A,MU
France,,26-Jul-74,21.8 S,139.0 W,0,,,AD,MU
France,,29-Jul-74,21.8 S,139.0 W,,,,A,MU
France,,15-Aug-74,21.8 S,139.0 W,,,,A,MU
France,,25-Aug-74,21.8 S,139.0 W,,,,A,MU
France,,15-Sep-74,21.8 S,139.0 W,1000,,,A,MU
PRC,,23-Jan-76,41. N,89. E,5,600:00:00,,A,LN
PRC,,26-Sep-76,41. N,89. E,200,600:00:00,,A,LN
PRC,,17-Nov-76,40.696 N,89.627 E,4000,00:12.7,,A,LN
PRC,,17-Sep-77,41.5 N,89. E,5,700:00:00,,A,LN
PRC,,15-Mar-78,41.5 N,89. E,10,500:00:00,,A,LN
PRC,,14-Dec-78,41.5 N,89. E,5,,,A,LN
PRC,,13-Sep-79,41. N,89. E,,,,AS,LN
RSA,,22-Sep-79,46.6 S,38.0 E,3,100,,A,AS
PRC,,16-Oct-80,40.719 N,89.651 E,450,10:29.7,,A,LN
